Source,Target,Association
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Child_10,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Pop_10_64,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Elderly_65,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Hispanic,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/White,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/African_American,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Native_American,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Asian_American,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Pacific_Islander,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Other_Multiple,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/County,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/ApproxLoc,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/DAC_category,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Shape,esri.arcgis.custom.LayerContainsField
arcgis/SB1/ePPR_Project_Ref_Layer/7,arcgis/SB1/ePPR_Project_Ref_Layer/7/Shape.STArea(),esri.arcgis.custom.LayerContainsField
