core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,esri.arcgis.custom.Type,esri.arcgis.custom.alias,esri.arcgis.custom.defaultValue,esri.arcgis.custom.domain,esri.arcgis.custom.editable,esri.arcgis.custom.modelName,esri.arcgis.custom.nullable,core.Position
arcgis/CHaviation/AWOS/0/FREQUENCY,FREQUENCY,,,,FALSE,esriFieldTypeString,Frequency,,,,,,4
arcgis/CHaviation/AWOS/0/PHONE,PHONE,,,,FALSE,esriFieldTypeString,Phone,,,,,,5
arcgis/CHaviation/AWOS/0/LATITUDE,LATITUDE,,,,FALSE,esriFieldTypeDouble,Latitude,,,,,,6
arcgis/CHaviation/AWOS/0/LONGITUDE,LONGITUDE,,,,FALSE,esriFieldTypeDouble,Longitude,,,,,,7
arcgis/CHaviation/AWOS/0/FAA_ID,FAA_ID,,,,FALSE,esriFieldTypeString,FAA_ID,,,,,,8
arcgis/CHaviation/AWOS/0/LATARC,LATARC,,,,FALSE,esriFieldTypeDouble,LatARC,,,,,,9
arcgis/CHaviation/AWOS/0/LONGARC,LONGARC,,,,FALSE,esriFieldTypeDouble,LongARC,,,,,,10
arcgis/CHaviation/AWOS/0/AWOSTYPE,AWOSTYPE,,,,FALSE,esriFieldTypeString,AWOSTYPE,,,,,,11
arcgis/CHaviation/AWOS/0/SHAPE,SHAPE,,,,FALSE,esriFieldTypeGeometry,Shape,,,,,,12
arcgis/CHaviation/Hospital_Heliports/0/OBJECTID,OBJECTID,,,,FALSE,esriFieldTypeOID,OBJECTID,,,False,OBJECTID,False,1
arcgis/CHaviation/Hospital_Heliports/0/FACILITY,FACILITY,,,,FALSE,esriFieldTypeString,FACILITY,,,True,FACILITY,True,2
arcgis/CHaviation/Hospital_Heliports/0/MAPLABEL,MAPLABEL,,,,FALSE,esriFieldTypeString,MAPLABEL,,,True,MAPLABEL,True,3
arcgis/CHaviation/Hospital_Heliports/0/CITY,CITY,,,,FALSE,esriFieldTypeString,CITY,,,True,CITY,True,4
arcgis/CHaviation/Hospital_Heliports/0/COUNTY,COUNTY,,,,FALSE,esriFieldTypeString,COUNTY,,,True,COUNTY,True,5
arcgis/CHaviation/Hospital_Heliports/0/FAACODE,FAACODE,,,,FALSE,esriFieldTypeString,FAACODE,,,True,FAACODE,True,6
arcgis/CHaviation/Hospital_Heliports/0/FAANUM,FAANUM,,,,FALSE,esriFieldTypeString,FAANUM,,,True,FAANUM,True,7
arcgis/CHaviation/Hospital_Heliports/0/AGL_FT,AGL_FT,,,,FALSE,esriFieldTypeInteger,AGL_FT,,,True,AGL_FT,True,8
